x0           y0           sigmax       sigmay       theta        rel_amp      sigma_rat    x0_sd        y0_sd        sigmax_sd    sigmay_sd    theta_sd     rel_amp_sd   sigma_rat_sd fwhm         
1.184408e+01 1.156196e+01 7.757334e-01 5.506560e-01 6.893366e+01 9.021896e-01 1.397873e+00 7.659467e-03 9.754996e-03 9.817522e-03 1.076275e-02 1.823357e+00 2.090703e-02 2.432617e-02 1.307153e+00 
9.901387e+00 9.634505e+00 7.846797e-01 5.620712e-01 6.967685e+01 9.850507e-01 1.391656e+00 8.099118e-03 1.007932e-02 1.116516e-02 1.072584e-02 1.896690e+00 2.145413e-02 2.491100e-02 1.328226e+00 
1.383331e+01 9.547359e+00 7.979907e-01 5.910723e-01 7.079580e+01 8.968461e-01 1.377838e+00 7.839317e-03 1.037221e-02 1.158487e-02 1.006215e-02 1.918688e+00 2.090269e-02 2.295435e-02 1.373565e+00 
7.937888e+00 7.704102e+00 8.733402e-01 5.713661e-01 7.892005e+01 8.690331e-01 1.505934e+00 5.350769e-03 7.843391e-03 6.619809e-03 9.402474e-03 1.032169e+00 1.423648e-02 1.868462e-02 1.412794e+00 
1.186962e+01 7.670879e+00 7.667883e-01 5.820033e-01 7.106973e+01 8.969716e-01 1.336011e+00 7.811679e-03 9.655969e-03 1.030724e-02 1.051274e-02 2.026698e+00 2.054664e-02 2.332396e-02 1.336074e+00 
5.955601e+00 5.817679e+00 7.956970e-01 5.382911e-01 7.343124e+01 9.627478e-01 1.495194e+00 4.585220e-03 6.361095e-03 5.682927e-03 7.225287e-03 9.208927e-01 1.369824e-02 1.593500e-02 1.308918e+00 
9.943379e+00 5.740206e+00 8.443254e-01 5.596506e-01 8.003363e+01 8.961092e-01 1.531448e+00 5.015058e-03 7.340271e-03 6.615563e-03 8.038848e-03 9.435741e-01 1.416342e-02 1.732197e-02 1.374812e+00 
3.976350e+00 3.893667e+00 7.997401e-01 5.452161e-01 6.935336e+01 9.984830e-01 1.451923e+00 4.998494e-03 6.481894e-03 6.404841e-03 7.060570e-03 1.035281e+00 1.419625e-02 1.622272e-02 1.320653e+00 
1.187997e+01 3.770201e+00 7.863865e-01 5.757929e-01 7.748153e+01 9.071512e-01 1.353256e+00 5.075747e-03 6.703727e-03 6.858097e-03 7.258171e-03 1.297021e+00 1.407808e-02 1.621121e-02 1.345802e+00 
1.993036e+00 1.946767e+00 8.308063e-01 5.531745e-01 7.204071e+01 9.427090e-01 1.500941e+00 4.890439e-03 6.767842e-03 6.140025e-03 7.612283e-03 9.342370e-01 1.386983e-02 1.655346e-02 1.355848e+00 
5.955634e+00 1.900756e+00 7.962068e-01 5.358392e-01 7.275744e+01 9.604296e-01 1.472089e+00 4.818172e-03 6.502853e-03 6.234155e-03 6.951484e-03 1.006970e+00 1.388788e-02 1.584917e-02 1.306352e+00 
1.387977e+01 1.717036e+00 7.866307e-01 5.705912e-01 6.781169e+01 8.616258e-01 1.391435e+00 5.531023e-03 6.908913e-03 7.828006e-03 7.039880e-03 1.270929e+00 1.466330e-02 1.653870e-02 1.339917e+00 
-0.000000e+00 0.000000e+00 8.515090e-01 5.399982e-01 6.882137e+01 1.000000e+00 1.570901e+00 4.921337e-03 6.692210e-03 6.814059e-03 6.503681e-03 8.442796e-01 1.380064e-02 1.555699e-02 1.356191e+00 
3.964990e+00 -5.343815e-02 7.982611e-01 5.486023e-01 7.086816e+01 9.279793e-01 1.461327e+00 4.918704e-03 6.498289e-03 6.935183e-03 6.391255e-03 1.022186e+00 1.395486e-02 1.531348e-02 1.323522e+00 
1.189966e+01 -1.600116e-01 7.845299e-01 5.476861e-01 6.805813e+01 9.257552e-01 1.425723e+00 5.216160e-03 6.629007e-03 6.688435e-03 7.221083e-03 1.138555e+00 1.442147e-02 1.663476e-02 1.310994e+00 
