f            Pxx32k       Pxx31k       Pxx30k       Pxx29k       Pxx28k       Pxx27k       Pxx26k       Pxx25k       Pxx_pow32k   Pxx_pow31k   Pxx_pow30k   Pxx_pow29k   Pxx_pow28k   Pxx_pow27k   Pxx_pow26k   Pxx_pow25k   
1.454353e+01 6.562435e-10 7.471785e-10 9.056826e-10 6.816937e-10 9.973539e-10 9.844617e-10 1.160285e-09 1.097678e-09 1.737048e-15 1.796884e-15 2.010289e-15 1.427114e-15 1.870044e-15 1.684690e-15 1.894009e-15 1.641979e-15 
1.478195e+01 6.296798e-10 8.476269e-10 7.407029e-10 7.390671e-10 9.699271e-10 1.051292e-09 9.640990e-10 1.100683e-09 1.666735e-15 2.038452e-15 1.644093e-15 1.547225e-15 1.818618e-15 1.799055e-15 1.573763e-15 1.646473e-15 
1.502037e+01 6.576540e-10 7.857835e-10 7.437424e-10 8.695569e-10 9.665589e-10 1.084403e-09 1.063698e-09 1.079548e-09 1.740782e-15 1.889725e-15 1.650840e-15 1.820403e-15 1.812303e-15 1.855717e-15 1.736345e-15 1.614858e-15 
1.525879e+01 6.441038e-10 7.540107e-10 7.728733e-10 8.218504e-10 9.029824e-10 1.023772e-09 1.018864e-09 1.217249e-09 1.704915e-15 1.813315e-15 1.715500e-15 1.720530e-15 1.693097e-15 1.751961e-15 1.663158e-15 1.820841e-15 
1.549721e+01 5.828264e-10 6.595359e-10 7.242952e-10 8.010517e-10 8.174044e-10 9.896819e-10 1.026614e-09 1.166853e-09 1.542716e-15 1.586113e-15 1.607674e-15 1.676989e-15 1.532637e-15 1.693623e-15 1.675809e-15 1.745455e-15 
1.573563e+01 4.965060e-10 7.013029e-10 7.733664e-10 8.139271e-10 9.003375e-10 9.091253e-10 1.102158e-09 1.067818e-09 1.314230e-15 1.686558e-15 1.716595e-15 1.703943e-15 1.688137e-15 1.555768e-15 1.799126e-15 1.597313e-15 
1.597404e+01 6.222494e-10 7.781460e-10 7.706624e-10 7.894426e-10 9.316177e-10 1.062772e-09 1.241768e-09 1.136835e-09 1.647067e-15 1.871358e-15 1.710592e-15 1.652685e-15 1.746788e-15 1.818700e-15 2.027020e-15 1.700552e-15 
1.621246e+01 6.136442e-10 6.559522e-10 7.280426e-10 7.615962e-10 9.234931e-10 1.100642e-09 1.018699e-09 1.195576e-09 1.624290e-15 1.577495e-15 1.615992e-15 1.594389e-15 1.731554e-15 1.883507e-15 1.662889e-15 1.788422e-15 
1.645088e+01 6.559316e-10 6.911009e-10 7.774584e-10 8.148680e-10 8.791747e-10 9.748130e-10 9.114779e-10 1.205022e-09 1.736222e-15 1.662024e-15 1.725677e-15 1.705913e-15 1.648457e-15 1.668178e-15 1.487866e-15 1.802552e-15 
1.668930e+01 6.221585e-10 6.547762e-10 7.558683e-10 8.716306e-10 1.000679e-09 1.114098e-09 1.066476e-09 1.082603e-09 1.646827e-15 1.574667e-15 1.677755e-15 1.824744e-15 1.876279e-15 1.906534e-15 1.740879e-15 1.619428e-15 
1.692772e+01 6.151213e-10 6.970084e-10 6.938680e-10 8.493416e-10 8.968885e-10 1.145299e-09 1.130043e-09 1.106275e-09 1.628199e-15 1.676231e-15 1.540137e-15 1.778082e-15 1.681671e-15 1.959927e-15 1.844644e-15 1.654838e-15 
1.716614e+01 6.250299e-10 6.116291e-10 8.472255e-10 9.108910e-10 9.450575e-10 9.938390e-10 9.740077e-10 1.206311e-09 1.654427e-15 1.470903e-15 1.880535e-15 1.906935e-15 1.771988e-15 1.700737e-15 1.589937e-15 1.804479e-15 
1.740456e+01 6.484785e-10 6.011404e-10 8.273788e-10 8.638339e-10 9.432711e-10 9.048200e-10 1.046367e-09 1.125045e-09 1.716495e-15 1.445678e-15 1.836482e-15 1.808422e-15 1.768638e-15 1.548400e-15 1.708054e-15 1.682915e-15 
1.764297e+01 6.968544e-10 6.060694e-10 7.567506e-10 7.659337e-10 8.290800e-10 8.168871e-10 1.004054e-09 1.041067e-09 1.844543e-15 1.457532e-15 1.679713e-15 1.603469e-15 1.554529e-15 1.397922e-15 1.638983e-15 1.557296e-15 
1.788139e+01 5.766516e-10 6.939402e-10 7.776321e-10 8.052370e-10 7.542255e-10 9.258922e-10 9.484446e-10 1.065603e-09 1.526372e-15 1.668852e-15 1.726063e-15 1.685750e-15 1.414177e-15 1.584461e-15 1.548209e-15 1.593999e-15 
1.811981e+01 5.985671e-10 7.828771e-10 7.442409e-10 8.345957e-10 8.552115e-10 1.059966e-09 9.094670e-10 1.221645e-09 1.584381e-15 1.882736e-15 1.651946e-15 1.747212e-15 1.603526e-15 1.813899e-15 1.484583e-15 1.827416e-15 
1.835823e+01 5.791464e-10 7.522231e-10 7.380701e-10 8.039548e-10 8.438256e-10 1.086714e-09 9.569676e-10 1.086767e-09 1.532975e-15 1.809016e-15 1.638249e-15 1.683066e-15 1.582177e-15 1.859672e-15 1.562122e-15 1.625657e-15 
1.859665e+01 5.608306e-10 6.292551e-10 7.064641e-10 7.791357e-10 7.833804e-10 9.850982e-10 9.788018e-10 1.073370e-09 1.484494e-15 1.513291e-15 1.568096e-15 1.631108e-15 1.468842e-15 1.685779e-15 1.597763e-15 1.605618e-15 
1.883507e+01 5.865938e-10 7.328347e-10 7.747829e-10 8.050286e-10 7.975698e-10 9.139598e-10 1.072729e-09 1.159340e-09 1.552688e-15 1.762389e-15 1.719739e-15 1.685314e-15 1.495447e-15 1.564041e-15 1.751087e-15 1.734217e-15 
1.907349e+01 5.592774e-10 7.411447e-10 8.171076e-10 8.617751e-10 8.917983e-10 9.673854e-10 1.129037e-09 1.096180e-09 1.480383e-15 1.782374e-15 1.813684e-15 1.804112e-15 1.672126e-15 1.655467e-15 1.843002e-15 1.639737e-15 
1.931190e+01 5.808095e-10 7.061957e-10 6.780780e-10 8.405967e-10 9.366959e-10 8.857583e-10 9.266820e-10 1.169435e-09 1.537378e-15 1.698325e-15 1.505089e-15 1.759775e-15 1.756310e-15 1.515780e-15 1.512684e-15 1.749318e-15 
1.955032e+01 6.021830e-10 7.170285e-10 6.007231e-10 7.441044e-10 9.020142e-10 9.228427e-10 9.545259e-10 1.111804e-09 1.593952e-15 1.724377e-15 1.333389e-15 1.557770e-15 1.691281e-15 1.579242e-15 1.558136e-15 1.663110e-15 
1.978874e+01 6.588105e-10 7.260708e-10 7.114668e-10 7.069028e-10 9.265374e-10 1.060379e-09 9.944126e-10 1.018805e-09 1.743843e-15 1.746123e-15 1.579200e-15 1.479889e-15 1.737262e-15 1.814606e-15 1.623245e-15 1.523995e-15 
2.002716e+01 6.575096e-10 6.634423e-10 7.395139e-10 7.470891e-10 9.299835e-10 1.012020e-09 1.072728e-09 1.048448e-09 1.740399e-15 1.595508e-15 1.641454e-15 1.564019e-15 1.743724e-15 1.731850e-15 1.751085e-15 1.568338e-15 
2.026558e+01 6.704248e-10 7.124989e-10 7.282170e-10 7.881044e-10 9.268254e-10 9.783452e-10 9.923790e-10 1.048646e-09 1.774585e-15 1.713484e-15 1.616379e-15 1.649883e-15 1.737802e-15 1.674223e-15 1.619926e-15 1.568634e-15 
2.050400e+01 6.766537e-10 7.271360e-10 7.220819e-10 8.292119e-10 9.392116e-10 1.018239e-09 1.021611e-09 1.161459e-09 1.791073e-15 1.748684e-15 1.602761e-15 1.735941e-15 1.761027e-15 1.742492e-15 1.667644e-15 1.737386e-15 
2.074242e+01 6.109087e-10 7.148906e-10 8.439980e-10 7.902083e-10 8.952226e-10 9.980050e-10 1.003198e-09 1.246038e-09 1.617049e-15 1.719235e-15 1.873371e-15 1.654288e-15 1.678547e-15 1.707866e-15 1.637587e-15 1.863906e-15 
2.098083e+01 5.700372e-10 7.255626e-10 7.503595e-10 8.314247e-10 8.750780e-10 8.964219e-10 1.013160e-09 1.062615e-09 1.508864e-15 1.744900e-15 1.665527e-15 1.740574e-15 1.640776e-15 1.534029e-15 1.653847e-15 1.589529e-15 
2.121925e+01 5.842131e-10 6.540515e-10 7.125160e-10 8.154062e-10 9.403883e-10 9.161420e-10 9.721440e-10 1.101784e-09 1.546387e-15 1.572924e-15 1.581528e-15 1.707039e-15 1.763233e-15 1.567775e-15 1.586895e-15 1.648121e-15 
2.145767e+01 5.864193e-10 7.030581e-10 7.308611e-10 7.503048e-10 8.276329e-10 9.879779e-10 9.656300e-10 1.068185e-09 1.552227e-15 1.690779e-15 1.622248e-15 1.570751e-15 1.551816e-15 1.690707e-15 1.576262e-15 1.597862e-15 
2.169609e+01 5.901702e-10 6.443264e-10 7.638694e-10 8.864085e-10 8.979352e-10 9.692605e-10 9.110314e-10 1.177532e-09 1.562155e-15 1.549536e-15 1.695514e-15 1.855682e-15 1.683633e-15 1.658676e-15 1.487137e-15 1.761429e-15 
2.193451e+01 6.258829e-10 6.387228e-10 7.737176e-10 8.386569e-10 9.504529e-10 9.137838e-10 1.081341e-09 1.138702e-09 1.656685e-15 1.536060e-15 1.717374e-15 1.755714e-15 1.782104e-15 1.563740e-15 1.765144e-15 1.703345e-15 
2.217293e+01 6.194173e-10 6.805298e-10 7.429030e-10 8.224974e-10 9.636419e-10 8.652832e-10 1.091890e-09 1.189255e-09 1.639571e-15 1.636601e-15 1.648977e-15 1.721885e-15 1.806833e-15 1.480742e-15 1.782363e-15 1.778966e-15 
2.241135e+01 5.665619e-10 6.947234e-10 6.973174e-10 8.856279e-10 9.772886e-10 8.127617e-10 8.929802e-10 1.204863e-09 1.499665e-15 1.670735e-15 1.547793e-15 1.854047e-15 1.832421e-15 1.390863e-15 1.457671e-15 1.802313e-15 
2.264977e+01 4.422065e-10 6.230706e-10 7.048640e-10 7.704363e-10 8.645260e-10 8.527253e-10 9.366275e-10 1.200445e-09 1.170502e-15 1.498418e-15 1.564544e-15 1.612896e-15 1.620991e-15 1.459252e-15 1.528919e-15 1.795705e-15 
2.288818e+01 5.260829e-10 6.743825e-10 7.669852e-10 7.529968e-10 7.740306e-10 8.969922e-10 1.215785e-09 1.231067e-09 1.392519e-15 1.621818e-15 1.702430e-15 1.576386e-15 1.451311e-15 1.535005e-15 1.984605e-15 1.841511e-15 
2.312660e+01 5.932250e-10 5.848191e-10 7.153940e-10 7.930039e-10 7.808834e-10 9.395858e-10 1.117403e-09 1.128786e-09 1.570241e-15 1.406427e-15 1.587917e-15 1.660140e-15 1.464160e-15 1.607894e-15 1.824011e-15 1.688513e-15 
