freq         Pxx_raw      Pxx_cm       Pxx_nocm     Pxx_nocm_np  
5.375000e-01 5.105520e-09 4.787747e-09 2.155951e-09 2.160394e-09 
5.390625e-01 5.846695e-09 4.958074e-09 2.351607e-09 2.350453e-09 
5.421875e-01 6.120453e-09 5.206954e-09 1.728702e-09 1.720556e-09 
5.453125e-01 6.456186e-09 4.941483e-09 1.701832e-09 1.683656e-09 
5.468750e-01 6.612473e-09 4.573566e-09 1.800230e-09 1.774209e-09 
5.500000e-01 5.683150e-09 4.682093e-09 1.851041e-09 1.846288e-09 
5.515625e-01 6.241714e-09 4.509679e-09 2.193655e-09 2.182383e-09 
5.546875e-01 5.662571e-09 4.643304e-09 2.342186e-09 2.345120e-09 
5.578125e-01 5.612106e-09 4.434764e-09 2.271750e-09 2.273686e-09 
5.593750e-01 5.015259e-09 3.939237e-09 2.641108e-09 2.652129e-09 
5.625000e-01 5.429639e-09 4.731913e-09 2.553575e-09 2.565066e-09 
5.656250e-01 6.745141e-09 5.036648e-09 2.479222e-09 2.470531e-09 
5.671875e-01 6.646637e-09 4.954397e-09 2.489179e-09 2.481035e-09 
5.703125e-01 7.212948e-09 4.831701e-09 2.506682e-09 2.487722e-09 
5.734375e-01 5.231468e-09 3.694717e-09 1.753537e-09 1.741635e-09 
5.750000e-01 4.006079e-09 4.075127e-09 2.024649e-09 2.040988e-09 
5.781250e-01 4.192435e-09 5.517171e-09 2.065137e-09 2.087834e-09 
5.812500e-01 5.561976e-09 5.392275e-09 2.031301e-09 2.030363e-09 
5.828125e-01 5.307233e-09 5.478005e-09 2.197246e-09 2.206116e-09 
5.859375e-01 5.476412e-09 5.235731e-09 1.637594e-09 1.633467e-09 
