t            Tb_tes       
1.481600e+01 -7.525107e-02 
1.484800e+01 -6.832049e-02 
1.488000e+01 -6.968477e-02 
1.491200e+01 -6.930277e-02 
1.494400e+01 -6.684706e-02 
1.497600e+01 -6.799306e-02 
1.500800e+01 -6.499162e-02 
1.504000e+01 -6.602848e-02 
1.507200e+01 -7.088535e-02 
1.510400e+01 -6.772020e-02 
1.513600e+01 -6.864792e-02 
1.516800e+01 -6.395476e-02 
1.520000e+01 -6.471877e-02 
1.523200e+01 -6.537362e-02 
1.526400e+01 -6.275419e-02 
1.529600e+01 -6.351819e-02 
1.532800e+01 -6.340905e-02 
1.536000e+01 -6.319076e-02 
1.539200e+01 -6.515534e-02 
1.542400e+01 -6.237219e-02 
1.545600e+01 -6.248133e-02 
1.548800e+01 -6.340905e-02 
1.552000e+01 -6.073505e-02 
1.555200e+01 -6.613763e-02 
1.558400e+01 -6.804763e-02 
1.561600e+01 -6.428219e-02 
1.564800e+01 -6.886620e-02 
1.568000e+01 -7.345021e-02 
1.571200e+01 -6.297248e-02 
1.574400e+01 -6.690163e-02 
1.577600e+01 -6.815677e-02 
1.580800e+01 -5.937076e-02 
1.584000e+01 -6.466419e-02 
1.587200e+01 -6.804763e-02 
1.590400e+01 -6.870249e-02 
1.593600e+01 -6.078962e-02 
1.596800e+01 -6.237219e-02 
1.600000e+01 -6.275419e-02 
1.603200e+01 -6.602848e-02 
1.606400e+01 -7.214049e-02 
1.609600e+01 -6.384562e-02 
1.612800e+01 -6.602848e-02 
1.616000e+01 -6.892077e-02 
1.619200e+01 -6.799306e-02 
1.622400e+01 -6.133533e-02 
1.625600e+01 -6.711991e-02 
1.628800e+01 -5.838847e-02 
1.632000e+01 -6.324534e-02 
1.635200e+01 -6.853877e-02 
1.638400e+01 -6.826591e-02 
1.641600e+01 -6.575563e-02 
1.644800e+01 -6.586477e-02 
1.648000e+01 -6.100790e-02 
1.651200e+01 -5.609647e-02 
1.654400e+01 -6.133533e-02 
1.657600e+01 -6.035304e-02 
1.660800e+01 -6.553734e-02 
1.664000e+01 -6.531905e-02 
