theta        pow          
2.778845e+01 1.556743e-02 
2.784575e+01 1.547671e-02 
2.790304e+01 1.538777e-02 
2.796034e+01 1.530056e-02 
2.801764e+01 1.521503e-02 
2.807493e+01 1.513114e-02 
2.813223e+01 1.504883e-02 
2.818952e+01 1.496805e-02 
2.824682e+01 1.488877e-02 
2.830412e+01 1.481093e-02 
2.836141e+01 1.473449e-02 
2.841871e+01 1.465940e-02 
2.847600e+01 1.458562e-02 
2.853330e+01 1.451311e-02 
2.859059e+01 1.444182e-02 
2.864789e+01 1.437172e-02 
2.870519e+01 1.430276e-02 
2.876248e+01 1.423490e-02 
2.881978e+01 1.416810e-02 
2.887707e+01 1.410233e-02 
2.893437e+01 1.403755e-02 
2.899166e+01 1.397372e-02 
2.904896e+01 1.391080e-02 
2.910626e+01 1.384876e-02 
2.916355e+01 1.378756e-02 
2.922085e+01 1.372717e-02 
2.927814e+01 1.366756e-02 
2.933544e+01 1.360869e-02 
2.939273e+01 1.355053e-02 
2.945003e+01 1.349305e-02 
2.950733e+01 1.343623e-02 
2.956462e+01 1.338002e-02 
2.962192e+01 1.332439e-02 
2.967921e+01 1.326934e-02 
2.973651e+01 1.321481e-02 
2.979381e+01 1.316079e-02 
2.985110e+01 1.310725e-02 
2.990840e+01 1.305416e-02 
2.996569e+01 1.300150e-02 
3.002299e+01 1.294924e-02 
3.008028e+01 1.289736e-02 
3.013758e+01 1.284583e-02 
3.019488e+01 1.279464e-02 
3.025217e+01 1.274375e-02 
3.030947e+01 1.269316e-02 
3.036676e+01 1.264282e-02 
3.042406e+01 1.259274e-02 
3.048135e+01 1.254288e-02 
3.053865e+01 1.249323e-02 
3.059595e+01 1.244376e-02 
3.065324e+01 1.239447e-02 
3.071054e+01 1.234532e-02 
3.076783e+01 1.229631e-02 
3.082513e+01 1.224742e-02 
3.088243e+01 1.219863e-02 
3.093972e+01 1.214992e-02 
3.099702e+01 1.210129e-02 
3.105431e+01 1.205271e-02 
3.111161e+01 1.200417e-02 
3.116890e+01 1.195566e-02 
3.122620e+01 1.190717e-02 
3.128350e+01 1.185867e-02 
3.134079e+01 1.181017e-02 
3.139809e+01 1.176165e-02 
3.145538e+01 1.171309e-02 
3.151268e+01 1.166449e-02 
3.156997e+01 1.161583e-02 
3.162727e+01 1.156711e-02 
3.168457e+01 1.151832e-02 
3.174186e+01 1.146944e-02 
3.179916e+01 1.142047e-02 
3.185645e+01 1.137141e-02 
3.191375e+01 1.132223e-02 
3.197104e+01 1.127295e-02 
3.202834e+01 1.122354e-02 
3.208564e+01 1.117400e-02 
3.214293e+01 1.112433e-02 
3.220023e+01 1.107451e-02 
3.225752e+01 1.102455e-02 
3.231482e+01 1.097444e-02 
3.237212e+01 1.092418e-02 
3.242941e+01 1.087375e-02 
3.248671e+01 1.082316e-02 
3.254400e+01 1.077240e-02 
3.260130e+01 1.072147e-02 
3.265859e+01 1.067037e-02 
3.271589e+01 1.061909e-02 
3.277319e+01 1.056762e-02 
3.283048e+01 1.051598e-02 
3.288778e+01 1.046415e-02 
3.294507e+01 1.041214e-02 
3.300237e+01 1.035994e-02 
3.305966e+01 1.030755e-02 
3.311696e+01 1.025498e-02 
3.317426e+01 1.020221e-02 
3.323155e+01 1.014925e-02 
3.328885e+01 1.009611e-02 
3.334614e+01 1.004278e-02 
3.340344e+01 9.989255e-03 
3.346074e+01 9.935546e-03 
3.351803e+01 9.881650e-03 
3.357533e+01 9.827568e-03 
3.363262e+01 9.773302e-03 
3.368992e+01 9.718854e-03 
3.374721e+01 9.664225e-03 
3.380451e+01 9.609418e-03 
3.386181e+01 9.554434e-03 
3.391910e+01 9.499276e-03 
3.397640e+01 9.443948e-03 
3.403369e+01 9.388450e-03 
3.409099e+01 9.332788e-03 
3.414828e+01 9.276963e-03 
3.420558e+01 9.220979e-03 
3.426288e+01 9.164839e-03 
3.432017e+01 9.108548e-03 
3.437747e+01 9.052109e-03 
3.443476e+01 8.995525e-03 
3.449206e+01 8.938801e-03 
3.454936e+01 8.881941e-03 
3.460665e+01 8.824950e-03 
3.466395e+01 8.767832e-03 
3.472124e+01 8.710591e-03 
3.477854e+01 8.653232e-03 
3.483583e+01 8.595759e-03 
3.489313e+01 8.538179e-03 
3.495043e+01 8.480495e-03 
3.500772e+01 8.422714e-03 
3.506502e+01 8.364839e-03 
3.512231e+01 8.306876e-03 
3.517961e+01 8.248831e-03 
3.523690e+01 8.190710e-03 
3.529420e+01 8.132516e-03 
3.535150e+01 8.074257e-03 
3.540879e+01 8.015938e-03 
3.546609e+01 7.957564e-03 
3.552338e+01 7.899141e-03 
3.558068e+01 7.840676e-03 
3.563797e+01 7.782173e-03 
3.569527e+01 7.723640e-03 
3.575257e+01 7.665081e-03 
3.580986e+01 7.606502e-03 
3.586716e+01 7.547911e-03 
3.592445e+01 7.489313e-03 
3.598175e+01 7.430713e-03 
3.603905e+01 7.372119e-03 
3.609634e+01 7.313536e-03 
3.615364e+01 7.254970e-03 
3.621093e+01 7.196428e-03 
3.626823e+01 7.137916e-03 
3.632552e+01 7.079440e-03 
3.638282e+01 7.021006e-03 
3.644012e+01 6.962620e-03 
3.649741e+01 6.904289e-03 
3.655471e+01 6.846018e-03 
3.661200e+01 6.787815e-03 
3.666930e+01 6.729685e-03 
3.672659e+01 6.671634e-03 
3.678389e+01 6.613668e-03 
3.684119e+01 6.555795e-03 
3.689848e+01 6.498019e-03 
3.695578e+01 6.440347e-03 
3.701307e+01 6.382785e-03 
3.707037e+01 6.325339e-03 
3.712767e+01 6.268015e-03 
3.718496e+01 6.210819e-03 
3.724226e+01 6.153757e-03 
3.729955e+01 6.096835e-03 
3.735685e+01 6.040059e-03 
3.741414e+01 5.983435e-03 
3.747144e+01 5.926968e-03 
3.752874e+01 5.870664e-03 
3.758603e+01 5.814529e-03 
3.764333e+01 5.758569e-03 
3.770062e+01 5.702790e-03 
3.775792e+01 5.647196e-03 
3.781521e+01 5.591793e-03 
3.787251e+01 5.536588e-03 
3.792981e+01 5.481584e-03 
3.798710e+01 5.426789e-03 
3.804440e+01 5.372206e-03 
3.810169e+01 5.317841e-03 
3.815899e+01 5.263700e-03 
3.821628e+01 5.209787e-03 
3.827358e+01 5.156107e-03 
3.833088e+01 5.102666e-03 
3.838817e+01 5.049468e-03 
3.844547e+01 4.996519e-03 
3.850276e+01 4.943822e-03 
3.856006e+01 4.891383e-03 
3.861736e+01 4.839206e-03 
3.867465e+01 4.787297e-03 
3.873195e+01 4.735658e-03 
3.878924e+01 4.684296e-03 
3.884654e+01 4.633213e-03 
3.890383e+01 4.582415e-03 
3.896113e+01 4.531906e-03 
3.901843e+01 4.481689e-03 
3.907572e+01 4.431769e-03 
3.913302e+01 4.382149e-03 
3.919031e+01 4.332834e-03 
3.924761e+01 4.283828e-03 
3.930490e+01 4.235133e-03 
3.936220e+01 4.186754e-03 
3.941950e+01 4.138695e-03 
3.947679e+01 4.090958e-03 
3.953409e+01 4.043547e-03 
3.959138e+01 3.996466e-03 
3.964868e+01 3.949717e-03 
3.970598e+01 3.903304e-03 
3.976327e+01 3.857230e-03 
3.982057e+01 3.811498e-03 
3.987786e+01 3.766111e-03 
3.993516e+01 3.721071e-03 
3.999245e+01 3.676381e-03 
4.004975e+01 3.632044e-03 
4.010705e+01 3.588063e-03 
4.016434e+01 3.544439e-03 
4.022164e+01 3.501176e-03 
4.027893e+01 3.458275e-03 
4.033623e+01 3.415740e-03 
4.039352e+01 3.373571e-03 
4.045082e+01 3.331771e-03 
4.050812e+01 3.290342e-03 
4.056541e+01 3.249286e-03 
4.062271e+01 3.208605e-03 
4.068000e+01 3.168301e-03 
4.073730e+01 3.128374e-03 
4.079460e+01 3.088827e-03 
4.085189e+01 3.049661e-03 
4.090919e+01 3.010877e-03 
4.096648e+01 2.972478e-03 
4.102378e+01 2.934463e-03 
4.108107e+01 2.896834e-03 
4.113837e+01 2.859593e-03 
4.119567e+01 2.822740e-03 
4.125296e+01 2.786276e-03 
4.131026e+01 2.750202e-03 
4.136755e+01 2.714519e-03 
4.142485e+01 2.679228e-03 
4.148214e+01 2.644328e-03 
4.153944e+01 2.609821e-03 
4.159674e+01 2.575707e-03 
4.165403e+01 2.541986e-03 
4.171133e+01 2.508659e-03 
4.176862e+01 2.475725e-03 
4.182592e+01 2.443186e-03 
4.188321e+01 2.411041e-03 
4.194051e+01 2.379290e-03 
4.199781e+01 2.347933e-03 
4.205510e+01 2.316970e-03 
4.211240e+01 2.286401e-03 
4.216969e+01 2.256225e-03 
4.222699e+01 2.226442e-03 
4.228429e+01 2.197052e-03 
4.234158e+01 2.168054e-03 
4.239888e+01 2.139448e-03 
4.245617e+01 2.111232e-03 
4.251347e+01 2.083407e-03 
4.257076e+01 2.055972e-03 
4.262806e+01 2.028925e-03 
4.268536e+01 2.002267e-03 
4.274265e+01 1.975995e-03 
4.279995e+01 1.950109e-03 
4.285724e+01 1.924609e-03 
4.291454e+01 1.899492e-03 
4.297183e+01 1.874758e-03 
4.302913e+01 1.850405e-03 
4.308643e+01 1.826432e-03 
4.314372e+01 1.802839e-03 
4.320102e+01 1.779622e-03 
4.325831e+01 1.756782e-03 
4.331561e+01 1.734316e-03 
4.337291e+01 1.712223e-03 
