tp           bump         bump_conv    
2.330000e+00 3.088068e-07 2.377833e-01 
2.340000e+00 2.714466e-07 2.362163e-01 
2.350000e+00 2.384746e-07 2.346597e-01 
2.360000e+00 2.093919e-07 2.331134e-01 
2.370000e+00 1.837545e-07 2.315772e-01 
2.380000e+00 1.611670e-07 2.300512e-01 
2.390000e+00 1.412780e-07 2.285352e-01 
2.400000e+00 1.237751e-07 2.270292e-01 
2.410000e+00 1.083807e-07 2.255331e-01 
2.420000e+00 9.484854e-08 2.240469e-01 
2.430000e+00 8.296018e-08 2.225705e-01 
2.440000e+00 7.252185e-08 2.211038e-01 
2.450000e+00 6.336190e-08 2.196468e-01 
2.460000e+00 5.532834e-08 2.181994e-01 
2.470000e+00 4.828668e-08 2.167615e-01 
2.480000e+00 4.211794e-08 2.153331e-01 
2.490000e+00 3.671699e-08 2.139141e-01 
2.500000e+00 3.199096e-08 2.125045e-01 
2.510000e+00 2.785785e-08 2.111041e-01 
2.520000e+00 2.424533e-08 2.097130e-01 
2.530000e+00 2.108961e-08 2.083310e-01 
2.540000e+00 1.833451e-08 2.069582e-01 
2.550000e+00 1.593054e-08 2.055944e-01 
2.560000e+00 1.383412e-08 2.042395e-01 
2.570000e+00 1.200695e-08 2.028937e-01 
2.580000e+00 1.041536e-08 2.015566e-01 
2.590000e+00 9.029750e-09 2.002284e-01 
2.600000e+00 7.824156e-09 1.989090e-01 
2.610000e+00 6.775782e-09 1.975982e-01 
2.620000e+00 5.864641e-09 1.962961e-01 
2.630000e+00 5.073220e-09 1.950025e-01 
2.640000e+00 4.386176e-09 1.937175e-01 
2.650000e+00 3.790082e-09 1.924410e-01 
2.660000e+00 3.273191e-09 1.911728e-01 
2.670000e+00 2.825233e-09 1.899130e-01 
2.680000e+00 2.437234e-09 1.886616e-01 
2.690000e+00 2.101360e-09 1.874183e-01 
2.700000e+00 1.810772e-09 1.861833e-01 
2.710000e+00 1.559507e-09 1.849564e-01 
2.720000e+00 1.342366e-09 1.837376e-01 
2.730000e+00 1.154821e-09 1.825268e-01 
2.740000e+00 9.929304e-10 1.813240e-01 
2.750000e+00 8.532631e-10 1.801291e-01 
2.760000e+00 7.328369e-10 1.789421e-01 
2.770000e+00 6.290596e-10 1.777629e-01 
2.780000e+00 5.396801e-10 1.765915e-01 
2.790000e+00 4.627445e-10 1.754278e-01 
2.800000e+00 3.965575e-10 1.742718e-01 
2.810000e+00 3.396498e-10 1.731233e-01 
2.820000e+00 2.907479e-10 1.719825e-01 
2.830000e+00 2.487494e-10 1.708492e-01 
2.840000e+00 2.127001e-10 1.697233e-01 
2.850000e+00 1.817747e-10 1.686049e-01 
2.860000e+00 1.552599e-10 1.674938e-01 
2.870000e+00 1.325395e-10 1.663901e-01 
2.880000e+00 1.130815e-10 1.652936e-01 
2.890000e+00 9.642688e-11 1.642044e-01 
2.900000e+00 8.217972e-11 1.631223e-01 
2.910000e+00 6.999893e-11 1.620474e-01 
2.920000e+00 5.959068e-11 1.609795e-01 
2.930000e+00 5.070203e-11 1.599187e-01 
2.940000e+00 4.311542e-11 1.588649e-01 
2.950000e+00 3.664375e-11 1.578180e-01 
2.960000e+00 3.112630e-11 1.567780e-01 
2.970000e+00 2.642501e-11 1.557449e-01 
2.980000e+00 2.242142e-11 1.547185e-01 
2.990000e+00 1.901389e-11 1.536990e-01 
3.000000e+00 1.611533e-11 1.526861e-01 
3.010000e+00 1.365110e-11 1.516800e-01 
3.020000e+00 1.155729e-11 1.506804e-01 
3.030000e+00 9.779232e-12 1.496875e-01 
3.040000e+00 8.270154e-12 1.487011e-01 
3.050000e+00 6.990087e-12 1.477212e-01 
3.060000e+00 5.904889e-12 1.467477e-01 
3.070000e+00 4.985412e-12 1.457807e-01 
3.080000e+00 4.206787e-12 1.448200e-01 
3.090000e+00 3.547808e-12 1.438657e-01 
3.100000e+00 2.990404e-12 1.429177e-01 
3.110000e+00 2.519184e-12 1.419759e-01 
3.120000e+00 2.121045e-12 1.410403e-01 
3.130000e+00 1.784844e-12 1.401109e-01 
3.140000e+00 1.501104e-12 1.391876e-01 
3.150000e+00 1.261773e-12 1.382704e-01 
3.160000e+00 1.060015e-12 1.373592e-01 
3.170000e+00 8.900265e-13 1.364540e-01 
3.180000e+00 7.468855e-13 1.355548e-01 
3.190000e+00 6.264195e-13 1.346616e-01 
3.200000e+00 5.250935e-13 1.337742e-01 
3.210000e+00 4.399144e-13 1.328926e-01 
3.220000e+00 3.683494e-13 1.320169e-01 
3.230000e+00 3.082562e-13 1.311469e-01 
3.240000e+00 2.578243e-13 1.302827e-01 
3.250000e+00 2.155242e-13 1.294242e-01 
3.260000e+00 1.800646e-13 1.285713e-01 
3.270000e+00 1.503561e-13 1.277240e-01 
3.280000e+00 1.254798e-13 1.268824e-01 
3.290000e+00 1.046614e-13 1.260463e-01 
3.300000e+00 8.724881e-14 1.252156e-01 
3.310000e+00 7.269301e-14 1.243905e-01 
3.320000e+00 6.053214e-14 1.235708e-01 
3.330000e+00 5.037783e-14 1.227565e-01 
3.340000e+00 4.190377e-14 1.219476e-01 
3.350000e+00 3.483589e-14 1.211440e-01 
3.360000e+00 2.894416e-14 1.203456e-01 
3.370000e+00 2.403560e-14 1.195526e-01 
3.380000e+00 1.994846e-14 1.187648e-01 
3.390000e+00 1.654717e-14 1.179821e-01 
3.400000e+00 1.371824e-14 1.172047e-01 
3.410000e+00 1.136667e-14 1.164323e-01 
3.420000e+00 9.413002e-15 1.156651e-01 
3.430000e+00 7.790821e-15 1.149028e-01 
3.440000e+00 6.444638e-15 1.141457e-01 
3.450000e+00 5.328119e-15 1.133935e-01 
3.460000e+00 4.402603e-15 1.126462e-01 
3.470000e+00 3.635844e-15 1.119039e-01 
3.480000e+00 3.000966e-15 1.111665e-01 
